epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2167,2.92491,98.7725,0.68542,3.19822,4.10667,0.00333,1,0.03699,0.01553,0,0,0,0,1.26751,99.8266,0.56501,3.34804,4.05515,0.00066,0.00066,0.00066
2,66.3581,2.70207,99.2639,0.6164,2.85393,3.40014,0.04294,1,0.14844,0.04435,0,0,0,0,1.45317,99.9998,0.34797,3.72751,3.5167,0.00131353,0.00131353,0.00131353
3,98.2493,2.45461,99.0519,0.57131,2.44845,2.94193,0.03943,0.49,0.03705,0.01244,0,0,0,0,1.4034,99.9647,0.17056,9.63209,2.46252,0.00195387,0.00195387,0.00195387
4,129.596,1.90866,98.7655,0.54319,1.81023,2.48146,0.67703,1,0.98519,0.45064,0,0,0,0,2.13535,99.9822,0.01864,5.05815,3.29374,0.0019406,0.0019406,0.0019406
5,160.966,1.53375,99.2609,0.51312,1.32653,2.14665,0.92235,1,0.99264,0.62387,0,0,0,0,1.09067,99.9921,0.03936,2.69949,2.00455,0.0019208,0.0019208,0.0019208
6,192.265,1.1497,98.9799,0.48348,0.97622,1.80271,1,0.99929,0.995,0.87705,0,0,0,0,0.77813,99.9979,0.01732,0.98653,1.53284,0.001901,0.001901,0.001901
7,223.561,0.93973,99.1312,0.47454,0.79679,1.60037,0.99925,1,0.995,0.8778,0,0,0,0,0.62973,99.9456,0.19321,0.64771,1.33912,0.0018812,0.0018812,0.0018812
8,255.505,0.83502,99.3353,0.47872,0.68537,1.48417,0.99947,1,0.995,0.89938,0,0,0,0,0.60594,99.9361,0.09352,0.51399,1.12853,0.0018614,0.0018614,0.0018614
9,287.909,0.71875,99.0541,0.46724,0.59851,1.38205,0.99935,1,0.995,0.88967,0,0,0,0,0.45106,99.9648,0.07539,0.48977,0.98311,0.0018416,0.0018416,0.0018416
10,320.536,0.63879,99.2906,0.45119,0.54704,1.30699,0.99944,1,0.995,0.94296,0,0,0,0,0.42133,99.9825,0.02227,0.41072,0.93298,0.0018218,0.0018218,0.0018218
11,353.25,0.59807,98.8364,0.45344,0.51438,1.28048,0.99935,1,0.995,0.98497,0,0,0,0,0.38143,99.9571,0.05229,0.36096,0.82581,0.001802,0.001802,0.001802
12,385.872,0.54382,98.314,0.45546,0.47752,1.22269,0.99945,1,0.995,0.8955,0,0,0,0,0.50916,99.9957,0.12591,0.38207,0.86054,0.0017822,0.0017822,0.0017822
13,418.015,0.53532,99.6648,0.46099,0.46548,1.21097,0.99942,1,0.995,0.995,0,0,0,0,0.29131,99.9497,0.13523,0.32094,0.58782,0.0017624,0.0017624,0.0017624
14,450.098,0.51616,99.2462,0.46448,0.46428,1.19882,0.99932,1,0.995,0.96612,0,0,0,0,0.4703,99.9706,0.01742,0.48462,0.70325,0.0017426,0.0017426,0.0017426
15,482.523,0.49233,99.2142,0.46385,0.43337,1.16884,0.9994,1,0.995,0.995,0,0,0,0,0.33657,99.8409,0.37333,0.36539,0.59108,0.0017228,0.0017228,0.0017228
16,515.07,0.47761,99.089,0.45398,0.40929,1.14648,0.99926,1,0.995,0.995,0,0,0,0,0.21277,99.9334,0.12443,0.34945,0.42013,0.001703,0.001703,0.001703
17,546.949,0.45058,99.3539,0.45909,0.40649,1.13404,0.99944,1,0.995,0.995,0,0,0,0,0.23344,99.9987,0.02285,0.26382,0.42418,0.0016832,0.0016832,0.0016832
18,579.009,0.41865,98.844,0.47657,0.38511,1.10955,0.99939,1,0.995,0.995,0,0,0,0,0.18069,99.9535,0.61314,0.23171,0.41393,0.0016634,0.0016634,0.0016634
19,611.148,0.41191,99.2175,0.46179,0.38376,1.10782,0.99946,1,0.995,0.995,0,0,0,0,0.29774,99.9806,0.20532,0.33973,0.50573,0.0016436,0.0016436,0.0016436
20,643.231,0.42123,98.9726,0.43022,0.37585,1.09701,0.99945,1,0.995,0.995,0,0,0,0,0.14867,99.9933,0.13016,0.25727,0.39881,0.0016238,0.0016238,0.0016238
