epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5147,6.67707,6.54436,4.16985,0,0,0,0,6.99009,6.22488,4.14489,1.65e-05,1.65e-05,1.65e-05
2,57.8054,6.61996,6.42203,4.01806,0,0,0,0,6.94009,6.18499,3.95564,3.28383e-05,3.28383e-05,3.28383e-05
3,85.5329,6.44991,6.3692,3.74033,0,0,0,0,7.00358,6.14422,4.30435,4.88466e-05,4.88466e-05,4.88466e-05
4,113.248,6.09485,6.33321,3.45101,0,0,0,0,7.00869,6.14537,4.31142,4.8515e-05,4.8515e-05,4.8515e-05
5,139.916,5.38595,6.29321,3.23525,0,0,0,0,7.0394,6.12721,4.46201,4.802e-05,4.802e-05,4.802e-05
6,166.608,4.88007,6.28948,3.022,0,0,0,0,7.00239,6.15947,4.2528,4.7525e-05,4.7525e-05,4.7525e-05
7,193.46,4.45844,6.2718,2.84742,0,0,0,0,6.8265,6.168,3.79253,4.703e-05,4.703e-05,4.703e-05
8,220.851,3.92426,6.24905,2.66298,0,0,0,0,6.9439,6.16757,4.04348,4.6535e-05,4.6535e-05,4.6535e-05
9,247.325,3.57044,6.21235,2.48712,0,0,0,0,6.5556,6.15275,3.482,4.604e-05,4.604e-05,4.604e-05
10,272.643,3.07054,6.16199,2.26894,0,0,0,0,6.02013,6.1276,3.07739,4.5545e-05,4.5545e-05,4.5545e-05
11,297.763,2.80272,6.10333,2.15277,0,0,0,0,4.79589,6.06339,2.60381,4.505e-05,4.505e-05,4.505e-05
12,323.248,2.49936,6.0254,2.04697,0,0,0,0,4.32209,6.00893,2.45061,4.4555e-05,4.4555e-05,4.4555e-05
13,349.939,2.29257,5.93051,1.94756,0,0,0,0,3.63581,5.9265,2.33889,4.406e-05,4.406e-05,4.406e-05
14,377.894,2.15749,5.81826,1.8513,3e-05,0.0001,2e-05,1e-05,2.4946,5.72054,2.11459,4.3565e-05,4.3565e-05,4.3565e-05
15,405.375,1.94821,5.66344,1.74195,0.00045,0.00291,0.00024,0.00012,2.11065,5.49294,1.93362,4.307e-05,4.307e-05,4.307e-05
16,432.062,1.86887,5.51041,1.66108,0.00037,0.00531,0.0002,0.00011,1.96208,5.29633,1.82315,4.2575e-05,4.2575e-05,4.2575e-05
17,458.886,1.78103,5.3336,1.58794,0.00047,0.00495,0.00026,0.00015,1.74076,5.0656,1.70551,4.208e-05,4.208e-05,4.208e-05
18,485.263,1.75707,5.18398,1.55064,0.0008,0.0073,0.00051,0.00039,1.51458,4.91471,1.62693,4.1585e-05,4.1585e-05,4.1585e-05
19,511.895,1.67234,5.02527,1.4875,0.00134,0.00883,0.00085,0.00065,1.31743,4.71745,1.58455,4.109e-05,4.109e-05,4.109e-05
20,538.604,1.64631,4.90107,1.45001,0.00639,0.00867,0.00348,0.00251,1.14068,4.50621,1.52586,4.0595e-05,4.0595e-05,4.0595e-05
21,565.262,1.58987,4.79852,1.40861,0.00609,0.00974,0.00332,0.00265,0.99644,4.41834,1.50892,4.01e-05,4.01e-05,4.01e-05
22,592.43,1.53183,4.67325,1.35976,0.00115,0.01092,0.00093,0.00076,0.88037,4.21374,1.46081,3.9605e-05,3.9605e-05,3.9605e-05
23,619.701,1.53313,4.59602,1.32677,0.00174,0.01041,0.00103,0.00081,0.84663,4.15353,1.45095,3.911e-05,3.911e-05,3.911e-05
24,648.805,1.50275,4.51784,1.30024,0.00303,0.0098,0.00168,0.00139,0.79618,3.95865,1.40485,3.8615e-05,3.8615e-05,3.8615e-05
25,678.059,1.52113,4.45907,1.28483,0.0023,0.00888,0.0013,0.00105,0.73936,3.89121,1.39297,3.812e-05,3.812e-05,3.812e-05
26,707.731,1.45109,4.38279,1.2545,0.00732,0.00893,0.00382,0.00335,0.71735,3.83374,1.38455,3.7625e-05,3.7625e-05,3.7625e-05
27,737.499,1.41752,4.3255,1.23538,0.00471,0.00954,0.00253,0.00209,0.69958,3.81401,1.39113,3.713e-05,3.713e-05,3.713e-05
28,767.433,1.41944,4.28258,1.22343,0.00516,0.00908,0.00277,0.00247,0.68044,3.76656,1.39264,3.6635e-05,3.6635e-05,3.6635e-05
29,797.772,1.44851,4.25714,1.22795,0.0058,0.00857,0.00312,0.00264,0.68086,3.73202,1.39026,3.614e-05,3.614e-05,3.614e-05
30,827.855,1.3328,4.19359,1.20871,0.00439,0.00867,0.00244,0.00206,0.68828,3.71599,1.38136,3.5645e-05,3.5645e-05,3.5645e-05
31,859.988,1.33362,4.14657,1.17912,0.00592,0.00913,0.00324,0.00258,0.65287,3.63912,1.3565,3.515e-05,3.515e-05,3.515e-05
32,891.974,1.31617,4.1232,1.16353,0.00527,0.01026,0.00289,0.00243,0.64061,3.58748,1.34437,3.4655e-05,3.4655e-05,3.4655e-05
33,924,1.26482,4.08318,1.14358,0.00402,0.00923,0.00226,0.00193,0.65908,3.56925,1.33559,3.416e-05,3.416e-05,3.416e-05
34,955.807,1.21331,4.03348,1.13912,0.00372,0.01015,0.00216,0.00186,0.64669,3.55333,1.33288,3.3665e-05,3.3665e-05,3.3665e-05
35,988.125,1.22456,4.01106,1.13008,0.00375,0.01066,0.00225,0.00201,0.60391,3.51325,1.31254,3.317e-05,3.317e-05,3.317e-05
36,1020.43,1.17552,3.97863,1.11815,0.00436,0.01133,0.00262,0.00232,0.61172,3.55048,1.32777,3.2675e-05,3.2675e-05,3.2675e-05
