epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.945,1.39163,3.27781,2.54966,0.22827,0.23333,0.07108,0.04734,1.17608,3.56723,3.6119,0.00036,0.00036,0.00036
2,840.607,0.84397,1.60764,2.08343,0.37576,0.46667,0.3521,0.23549,1.39186,2.39743,3.48824,0.000735952,0.000735952,0.000735952
3,1189.33,0.97574,1.31872,2.16793,0.00303,0.36667,0.0019,0.00132,2.06447,inf,100.548,0.00110918,0.00110918,0.00110918
4,1574.48,0.92955,1.00502,2.17415,0.00239,0.03333,0.0009,9e-05,4.69783,inf,1206.01,0.00147956,0.00147956,0.00147956
5,3199.41,0.92702,0.92793,2.15043,0.11251,0.23333,0.04228,0.01583,2.42201,5.60757,5.1484,0.00184616,0.00184616,0.00184616
6,3513.36,0.9164,0.89804,2.22027,0.60321,0.50696,0.61642,0.3715,1.56539,1.95221,3.19006,0.00192667,0.00192667,0.00192667
7,3822.64,0.93929,0.88607,2.17659,0.80979,0.46667,0.59917,0.38619,1.43706,1.98462,3.29252,0.00191973,0.00191973,0.00191973
8,4154.08,0.91528,0.84655,2.21684,0.67862,0.4227,0.52136,0.37946,1.64588,2.47715,3.65299,0.00191283,0.00191283,0.00191283
9,4485.79,0.87694,0.80466,2.12006,0.5662,0.53333,0.54518,0.33202,1.67789,1.90016,3.35499,0.00190515,0.00190515,0.00190515
10,4840.79,0.94066,0.87782,2.18053,0.61735,0.64558,0.68165,0.46632,1.25541,1.44029,3.12483,0.00189759,0.00189759,0.00189759
11,5214.9,0.92351,0.81143,2.14566,0.90042,0.7,0.83472,0.55301,1.25774,1.17815,2.88979,0.00188939,0.00188939,0.00188939
12,5556.37,0.89267,0.76926,2.11384,0.94572,0.58118,0.80236,0.53806,1.19287,1.12138,2.79383,0.00188098,0.00188098,0.00188098
13,5856,0.84424,0.72279,2.23555,0.73376,0.66667,0.77116,0.54735,1.08556,1.26928,2.90963,0.00187294,0.00187294,0.00187294
14,6188,0.86162,0.70496,2.08816,0.91863,0.75301,0.84227,0.62783,0.99876,0.85604,2.82367,0.00186594,0.00186594,0.00186594
15,6535.84,0.81765,0.67205,2.12422,0.66611,0.73154,0.72817,0.49403,1.33517,1.26428,2.94319,0.00185857,0.00185857,0.00185857
16,6883.54,0.81215,0.68777,2.08056,0.80473,0.6,0.73297,0.52808,1.16285,1.21644,2.8636,0.00185075,0.00185075,0.00185075
17,7431.17,0.76318,0.629,2.1016,0.81785,0.76667,0.84215,0.55966,1.06006,1.06637,2.81264,0.00184239,0.00184239,0.00184239
18,7755.15,0.79765,0.62088,2.0993,0.81046,0.86667,0.92235,0.66363,0.9925,0.67331,2.69037,0.00183,0.00183,0.00183
19,8088.27,0.76749,0.61934,2.06318,0.71578,0.83333,0.83662,0.63684,0.9773,0.85499,2.5189,0.00182269,0.00182269,0.00182269
20,8379.21,0.78532,0.63212,2.01954,0.7993,0.79663,0.84839,0.66053,0.89482,0.94838,2.8848,0.00181468,0.00181468,0.00181468
21,8729,0.81209,0.64058,2.10054,0.82916,0.80912,0.9158,0.67412,0.94007,0.81632,2.87837,0.0018087,0.0018087,0.0018087
22,9044.74,0.74456,0.58385,1.95957,0.68089,0.66667,0.71267,0.54356,1.00555,1.29576,2.88543,0.0018001,0.0018001,0.0018001
23,9367.71,0.7462,0.61942,2.0424,0.6601,0.73333,0.76812,0.54548,1.0404,1.00544,2.89716,0.00179355,0.00179355,0.00179355
24,9724.32,0.74207,0.60518,1.95349,0.70692,0.76667,0.79331,0.61999,0.95843,0.98457,2.65924,0.0017862,0.0017862,0.0017862
25,10110.8,0.7732,0.60987,2.03626,0.72511,0.79153,0.81656,0.60312,0.97348,0.9004,2.73346,0.00177794,0.00177794,0.00177794
26,10472.1,0.78786,0.58699,2.03096,0.71201,0.9891,0.85049,0.56445,1.09766,0.84543,2.75241,0.00176869,0.00176869,0.00176869
27,10848.4,0.7249,0.5678,1.92607,0.83647,0.86667,0.90537,0.63468,1.08,0.73454,2.88721,0.00176056,0.00176056,0.00176056
28,11209.2,0.72646,0.54774,2.00384,0.83322,0.86667,0.8758,0.66725,0.95806,0.80014,2.64482,0.00175135,0.00175135,0.00175135
29,11595.9,0.76113,0.56818,1.90504,0.72123,0.76667,0.78561,0.62395,0.78009,0.94401,2.65699,0.00174333,0.00174333,0.00174333
30,11968.4,0.71535,0.57248,1.92218,0.78728,0.76667,0.80926,0.62012,0.86436,0.84427,2.55245,0.00173539,0.00173539,0.00173539
31,12358.5,0.73499,0.60678,1.93859,0.91441,0.83333,0.85573,0.61278,1.07671,0.96996,2.81872,0.00172627,0.00172627,0.00172627
