epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0123,2.93315,98.7733,0.68842,3.19657,4.11653,0.00333,1,0.08711,0.02161,0,0,0,0,2.4857,99.8497,0.49,3.18669,3.77969,0.00066,0.00066,0.00066
2,67.7464,2.77363,99.2649,0.62788,2.88455,3.5143,0.32354,0.33,0.28573,0.02943,0,0,0,0,3.31195,99.9597,0.7506,3.50087,4.35477,0.00131353,0.00131353,0.00131353
3,100.312,2.55174,99.0577,0.58528,2.64185,3.11453,0.32942,0.47653,0.37149,0.19102,0,0,0,0,1.45719,99.9987,0.04165,2.5445,2.41112,0.00195387,0.00195387,0.00195387
4,133.223,2.14042,98.7633,0.56316,2.15677,2.72149,0.21177,0.80061,0.21813,0.04732,0,0,0,0,2.63553,100,0.01671,3.04543,6.41612,0.0019406,0.0019406,0.0019406
5,165.318,1.70138,99.2632,0.51754,1.51537,2.34097,0.5723,0.95003,0.75078,0.39703,0,0,0,0,1.96348,99.989,0.0519,3.55105,3.45548,0.0019208,0.0019208,0.0019208
6,197.485,1.41152,98.979,0.49596,1.14287,2.0317,0.27819,0.87,0.37657,0.15857,0,0,0,0,1.73318,99.9948,0.01932,3.98893,2.65812,0.001901,0.001901,0.001901
7,230.154,1.15813,99.1474,0.47553,0.93237,1.80703,0.87246,0.97,0.97424,0.64466,0,0,0,0,1.04144,99.929,0.2737,3.68006,1.92642,0.0018812,0.0018812,0.0018812
8,263.748,0.96748,99.3495,0.47607,0.77521,1.62795,0.98815,1,0.995,0.88205,0,0,0,0,0.86704,99.9339,0.06174,0.9514,1.63612,0.0018614,0.0018614,0.0018614
9,297.588,0.84413,99.0638,0.46758,0.65996,1.50681,0.99934,1,0.995,0.87827,0,0,0,0,0.75422,99.9902,0.02298,0.85736,1.47549,0.0018416,0.0018416,0.0018416
10,331.138,0.72323,99.2928,0.4622,0.58243,1.40325,0.99936,1,0.995,0.9453,0,0,0,0,0.5584,99.9379,0.16144,0.54998,1.27647,0.0018218,0.0018218,0.0018218
11,365.079,0.68782,98.8411,0.47798,0.55727,1.35665,0.99885,1,0.995,0.97359,0,0,0,0,0.42764,99.9491,0.0722,0.46512,1.00895,0.001802,0.001802,0.001802
12,397.525,0.59695,98.3084,0.46157,0.49943,1.27899,0.99944,1,0.995,0.98419,0,0,0,0,0.44021,99.9796,0.05884,0.42629,0.91103,0.0017822,0.0017822,0.0017822
13,430.839,0.61862,99.6724,0.45207,0.49112,1.26448,0.99941,1,0.995,0.97184,0,0,0,0,0.36992,99.9751,0.03732,0.51349,0.7875,0.0017624,0.0017624,0.0017624
14,463.326,0.51198,99.2592,0.44637,0.4415,1.20339,0.99943,1,0.995,0.99037,0,0,0,0,0.34426,99.9914,0.06531,0.37594,0.8021,0.0017426,0.0017426,0.0017426
15,496.034,0.47758,99.2289,0.44836,0.42052,1.16848,0.99942,1,0.995,0.995,0,0,0,0,0.32816,99.9443,0.18121,0.37955,0.65642,0.0017228,0.0017228,0.0017228
16,528.856,0.47039,99.1072,0.4319,0.40024,1.15216,0.99939,1,0.995,0.91063,0,0,0,0,0.39942,99.9877,0.13256,0.30507,0.63371,0.001703,0.001703,0.001703
17,561.326,0.46573,99.3766,0.40953,0.39811,1.14503,0.99931,1,0.995,0.98299,0,0,0,0,0.41793,99.9912,0.01808,0.48593,0.70434,0.0016832,0.0016832,0.0016832
18,593.71,0.42679,98.8591,0.39142,0.38362,1.11263,0.99942,1,0.995,0.995,0,0,0,0,0.24975,99.9911,0.06397,0.33815,0.58212,0.0016634,0.0016634,0.0016634
19,626.09,0.39737,99.2195,0.36996,0.37185,1.10054,0.99945,1,0.995,0.995,0,0,0,0,0.22746,99.9423,0.47137,0.27233,0.52493,0.0016436,0.0016436,0.0016436
20,659.391,0.40215,98.9783,0.35587,0.36472,1.0861,0.99944,1,0.995,0.995,0,0,0,0,0.19094,99.9842,0.14266,0.27747,0.52635,0.0016238,0.0016238,0.0016238
21,691.965,0.3753,98.935,0.3527,0.35479,1.08335,0.99943,1,0.995,0.995,0,0,0,0,0.1601,99.9865,0.0309,0.26236,0.36464,0.001604,0.001604,0.001604
22,724.162,0.37133,99.1312,0.34427,0.34572,1.0696,0.99941,1,0.995,0.91038,0,0,0,0,0.23094,99.974,0.10859,0.22655,0.46488,0.0015842,0.0015842,0.0015842
23,755.939,0.37845,99.0648,0.35799,0.35146,1.05782,0.99946,1,0.995,0.995,0,0,0,0,0.24757,99.9993,0.08029,0.23156,0.40941,0.0015644,0.0015644,0.0015644
24,788.372,0.34469,99.4668,0.32865,0.33333,1.05014,0.99932,1,0.995,0.995,0,0,0,0,0.14506,99.9866,0.28198,0.25868,0.36478,0.0015446,0.0015446,0.0015446
25,820.394,0.34086,99.2106,0.30076,0.3323,1.04358,0.99946,1,0.995,0.995,0,0,0,0,0.20075,99.9948,0.22949,0.27575,0.39029,0.0015248,0.0015248,0.0015248
