epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86001,2.10017,5.48066,2.31565,0.17856,0.31746,0.17306,0.12483,1.01676,3.60867,3.07849,0.00038341,0.00038341,0.00038341
2,13.1744,1.44391,3.03895,1.68809,0.78926,0.39657,0.46787,0.28894,1.5227,3.54219,2.52108,0.000783417,0.000783417,0.000783417
3,17.9943,1.26017,2.02607,1.53256,0.41134,0.48413,0.44888,0.31308,1.30942,1.97396,3.01645,0.00118339,0.00118339,0.00118339
4,22.688,1.16991,1.41771,1.47312,0.78374,0.36314,0.48848,0.31824,1.50693,1.858,2.79852,0.00158332,0.00158332,0.00158332
5,27.2103,1.1202,1.17947,1.41695,0.6741,0.42857,0.56784,0.34868,1.14839,2.03951,3.6781,0.00166656,0.00166656,0.00166656
6,31.7142,1.09059,1.09513,1.4105,0.76784,0.40476,0.55599,0.35975,1.22542,1.58756,3.2242,0.00166647,0.00166647,0.00166647
7,36.327,1.07237,1.00412,1.4191,0.86533,0.41208,0.56684,0.38759,1.12987,1.62159,3.70192,0.00166639,0.00166639,0.00166639
8,40.6942,1.07607,1.02479,1.41936,0.82694,0.38889,0.43976,0.34002,1.17146,1.68527,3.1607,0.0016663,0.0016663,0.0016663
9,45.1577,1.05294,1.0092,1.43582,0.68885,0.54762,0.62458,0.43936,0.94741,1.5189,4.34983,0.00166622,0.00166622,0.00166622
10,49.6271,0.98298,0.91431,1.40387,0.6418,0.66821,0.72566,0.53805,0.82449,1.06558,3.85503,0.00166613,0.00166613,0.00166613
11,54.093,0.92665,0.88611,1.3614,0.51535,0.72678,0.65488,0.43858,1.15834,1.15382,3.66705,0.00166605,0.00166605,0.00166605
12,58.5827,0.93994,0.83603,1.38229,0.50097,0.73016,0.66052,0.50689,0.93209,1.0364,3.09492,0.00166596,0.00166596,0.00166596
13,62.977,0.93078,0.84294,1.35606,0.71708,0.54762,0.60535,0.4133,1.14825,1.61046,3.24327,0.00166588,0.00166588,0.00166588
14,67.4171,0.94458,0.79246,1.34663,0.74411,0.734,0.80602,0.52732,1.09779,1.10748,3.21446,0.00166579,0.00166579,0.00166579
15,71.9421,0.92961,0.83192,1.37264,0.69852,0.54762,0.60942,0.44895,1.09685,1.59445,3.70181,0.00166571,0.00166571,0.00166571
16,76.5111,0.93579,0.76069,1.37735,0.74403,0.65765,0.75844,0.51466,0.98992,1.23249,4.1877,0.00166562,0.00166562,0.00166562
17,80.8482,0.87959,0.74346,1.30116,0.66371,0.753,0.689,0.51673,0.90321,1.23275,3.80687,0.00166553,0.00166553,0.00166553
18,85.25,0.90214,0.71534,1.32252,0.9375,0.70588,0.84929,0.56513,1.00338,0.99187,3.48565,0.00166545,0.00166545,0.00166545
19,89.9922,0.89493,0.73887,1.29124,0.73446,0.69215,0.74785,0.53758,0.9406,1.10789,3.1949,0.00166537,0.00166537,0.00166537
20,94.4478,0.88957,0.71876,1.33778,0.6794,0.57791,0.6,0.40468,1.21337,1.34509,3.12961,0.00166528,0.00166528,0.00166528
21,98.9518,0.89014,0.74055,1.33126,0.65328,0.71578,0.75465,0.5206,0.89453,1.25418,3.55145,0.00166519,0.00166519,0.00166519
22,103.466,0.86556,0.72727,1.31488,0.67943,0.60538,0.68103,0.56453,0.80557,1.1159,3.40174,0.0016651,0.0016651,0.0016651
23,107.812,0.83367,0.73458,1.28196,0.62358,0.6946,0.69436,0.47984,0.98259,1.22495,2.84392,0.00166502,0.00166502,0.00166502
24,112.175,0.79212,0.68968,1.26241,0.5645,0.69048,0.72278,0.54197,1.06188,1.08806,3.40706,0.00166493,0.00166493,0.00166493
25,116.658,0.82744,0.68342,1.27836,0.54197,0.7917,0.7076,0.4529,1.15176,1.09226,2.86679,0.00166485,0.00166485,0.00166485
26,120.994,0.7947,0.67532,1.24064,0.85271,0.57143,0.69349,0.49928,0.98545,1.04703,3.46118,0.00166477,0.00166477,0.00166477
27,125.496,0.8112,0.6818,1.26147,0.83252,0.69804,0.80592,0.60496,0.85682,0.97417,3.73554,0.00166468,0.00166468,0.00166468
28,130.052,0.79832,0.64725,1.29518,0.62202,0.83704,0.74842,0.55674,0.91435,1.11436,3.31495,0.0016646,0.0016646,0.0016646
29,134.552,0.82139,0.66246,1.24918,0.67199,0.75397,0.73032,0.55383,0.81666,0.97532,3.57647,0.00166451,0.00166451,0.00166451
30,139.039,0.82005,0.69058,1.27887,0.84681,0.60317,0.7138,0.55006,0.81575,1.21519,4.12562,0.00166442,0.00166442,0.00166442
31,143.802,0.7829,0.61672,1.26662,0.75353,0.79365,0.82056,0.65799,0.77306,0.8136,3.74189,0.00166434,0.00166434,0.00166434
32,148.529,0.77755,0.62334,1.23488,0.95756,0.51268,0.70144,0.58311,0.77523,1.0548,3.219,0.00166425,0.00166425,0.00166425
33,153.234,0.79692,0.63334,1.27189,0.54467,0.7619,0.7366,0.55991,0.76984,1.05053,3.38734,0.00166416,0.00166416,0.00166416
34,158.084,0.80931,0.62968,1.28618,0.7167,0.70635,0.7696,0.53116,0.90086,1.26246,3.28563,0.00166407,0.00166407,0.00166407
35,162.772,0.7959,0.64364,1.28922,0.6264,0.78938,0.74996,0.56138,0.76945,1.09233,4.66027,0.00166397,0.00166397,0.00166397
36,167.487,0.76399,0.62059,1.23603,0.5769,0.95238,0.80498,0.64695,0.75317,0.88734,4.19701,0.00166389,0.00166389,0.00166389
37,172.319,0.72033,0.59679,1.20502,0.6454,0.57927,0.68543,0.52434,0.93459,1.43994,3.17373,0.00166379,0.00166379,0.00166379
38,177.038,0.74978,0.60157,1.24254,0.82344,0.52829,0.65766,0.55432,0.75052,1.23984,4.10282,0.0016637,0.0016637,0.0016637
39,181.713,0.75633,0.62689,1.23842,0.71491,0.65216,0.68433,0.50931,0.92462,1.19534,3.25799,0.00166361,0.00166361,0.00166361
40,186.363,0.76861,0.61359,1.25218,0.72514,0.72679,0.77214,0.56202,0.87975,1.01789,3.84783,0.00166352,0.00166352,0.00166352
41,191.148,0.75574,0.61201,1.24352,0.73073,0.69048,0.74949,0.55812,0.88015,1.17592,3.15569,0.00166343,0.00166343,0.00166343
42,195.793,0.76418,0.60871,1.24494,0.82341,0.55556,0.78943,0.54267,0.84805,1.11904,3.11058,0.00166334,0.00166334,0.00166334
43,200.469,0.74165,0.58312,1.23565,0.73537,0.44694,0.60865,0.48895,0.7847,1.23524,4.06124,0.00166325,0.00166325,0.00166325
44,205.2,0.75972,0.58112,1.25832,0.71789,0.44444,0.66025,0.45074,0.99344,1.40824,2.68568,0.00166316,0.00166316,0.00166316
45,209.906,0.8081,0.57083,1.30219,0.79622,0.67417,0.79428,0.57259,0.84954,0.99439,3.13495,0.00166307,0.00166307,0.00166307
46,214.57,0.76046,0.58792,1.26097,0.67265,0.89683,0.84568,0.50024,0.96199,1.01181,3.25294,0.00166298,0.00166298,0.00166298
47,219.253,0.7527,0.58322,1.2303,0.76799,0.7586,0.7728,0.50497,0.97242,1.11837,3.64476,0.0016629,0.0016629,0.0016629
48,223.94,0.75453,0.61164,1.21935,0.94267,0.58624,0.77673,0.56724,0.96916,1.02739,3.7299,0.00166281,0.00166281,0.00166281
49,228.603,0.71282,0.56141,1.20239,0.97547,0.57937,0.79659,0.62062,0.8533,0.84177,3.17766,0.00166272,0.00166272,0.00166272
50,233.264,0.75605,0.58902,1.25523,0.84368,0.42063,0.59763,0.44835,0.92833,1.27098,3.36211,0.00166263,0.00166263,0.00166263
51,237.943,0.71938,0.5953,1.20349,0.41699,0.61501,0.5101,0.39722,0.96424,1.34567,2.76174,0.00166254,0.00166254,0.00166254
52,242.717,0.74943,0.57666,1.21816,0.6286,0.63368,0.61662,0.40086,1.08181,1.1346,2.62237,0.00166245,0.00166245,0.00166245
53,247.553,0.71279,0.55927,1.21458,0.63384,0.69841,0.6914,0.54911,0.80998,1.12385,3.30596,0.00166236,0.00166236,0.00166236
54,252.283,0.73092,0.55765,1.22705,0.82898,0.67154,0.76798,0.64655,0.67214,1.0224,4.24716,0.00166227,0.00166227,0.00166227
55,257.032,0.7024,0.5399,1.18415,0.516,0.68284,0.68993,0.53339,0.80408,1.21458,3.30928,0.00166218,0.00166218,0.00166218
56,261.962,0.71371,0.56928,1.20723,0.72708,0.69021,0.77293,0.61363,0.70235,0.96701,3.43923,0.00166208,0.00166208,0.00166208
57,266.751,0.6891,0.5302,1.18651,0.72798,0.46473,0.57746,0.44011,0.78033,1.44751,3.34756,0.00166199,0.00166199,0.00166199
58,271.582,0.69141,0.54872,1.15685,0.75766,0.70635,0.76655,0.6167,0.68135,0.92119,3.08621,0.0016619,0.0016619,0.0016619
59,276.296,0.7057,0.56557,1.22043,0.88745,0.64337,0.79556,0.62744,0.64308,1.03469,4.04807,0.00166181,0.00166181,0.00166181
60,281.136,0.74671,0.58223,1.20611,0.66194,0.7829,0.74726,0.52821,0.91246,1.18844,3.82503,0.00166172,0.00166172,0.00166172
61,285.81,0.73971,0.5946,1.2192,0.85287,0.46825,0.61747,0.54236,0.74572,1.32568,3.61323,0.00166162,0.00166162,0.00166162
62,290.519,0.66599,0.53471,1.14569,0.55906,0.70635,0.64471,0.45224,0.88424,1.34383,3.65128,0.00166153,0.00166153,0.00166153
63,295.192,0.69112,0.54769,1.17267,0.62441,0.64286,0.67638,0.42409,1.23152,1.33338,2.30313,0.00166144,0.00166144,0.00166144
64,299.872,0.71469,0.59467,1.16422,0.80422,0.53463,0.7,0.5162,0.92233,1.05502,2.52067,0.00166136,0.00166136,0.00166136
65,304.469,0.70282,0.58624,1.18146,0.93992,0.59552,0.77704,0.56812,0.77313,0.92352,3.47949,0.00166127,0.00166127,0.00166127
66,309.147,0.66955,0.50739,1.17458,0.52842,0.61111,0.618,0.4327,0.99371,1.29949,2.75788,0.00166118,0.00166118,0.00166118
67,313.79,0.71733,0.54254,1.18793,0.81767,0.64286,0.75917,0.50049,0.91074,1.22654,3.89481,0.00166109,0.00166109,0.00166109
68,318.426,0.68864,0.53137,1.1736,0.81049,0.81746,0.88295,0.64217,0.76872,0.8756,3.36088,0.001661,0.001661,0.001661
69,323.193,0.72124,0.5569,1.1897,0.91613,0.57402,0.79338,0.65246,0.70141,0.91608,2.98794,0.00166091,0.00166091,0.00166091
70,327.905,0.70985,0.56621,1.18102,0.83131,0.5873,0.67822,0.48449,0.93422,1.47302,2.91781,0.00166082,0.00166082,0.00166082
71,332.568,0.7182,0.56318,1.20066,0.58069,0.75041,0.70986,0.58227,0.65295,1.16171,3.48131,0.00166073,0.00166073,0.00166073
72,337.282,0.67311,0.56014,1.17703,0.54741,0.81913,0.71731,0.48862,0.81798,1.19056,3.2004,0.00166064,0.00166064,0.00166064
73,341.972,0.68677,0.53188,1.17148,0.60773,0.7381,0.65753,0.47747,1.00424,1.15105,3.24562,0.00166055,0.00166055,0.00166055
74,346.618,0.69756,0.56921,1.17921,0.61377,0.70401,0.66622,0.48298,0.92573,1.55509,3.36944,0.00166046,0.00166046,0.00166046
75,351.271,0.6786,0.53559,1.14706,0.88724,0.60274,0.71859,0.54941,0.85322,1.16679,3.60889,0.00166037,0.00166037,0.00166037
76,355.95,0.6614,0.52427,1.15596,0.65991,0.74122,0.72723,0.53222,0.8574,1.13837,3.88062,0.00166028,0.00166028,0.00166028
77,360.595,0.67603,0.52925,1.15728,0.63633,0.65868,0.6553,0.56513,0.72442,0.95569,3.37395,0.0016602,0.0016602,0.0016602
78,365.263,0.69138,0.56228,1.16734,0.65755,0.65873,0.69775,0.47863,1.21121,1.08641,2.20001,0.00166011,0.00166011,0.00166011
79,369.951,0.71699,0.56553,1.18,0.86013,0.69663,0.81195,0.64375,0.7246,0.79782,4.07201,0.00166002,0.00166002,0.00166002
80,374.621,0.67393,0.54935,1.16498,0.61855,0.73016,0.71225,0.53138,0.90857,1.23475,3.28873,0.00165993,0.00165993,0.00165993
81,379.311,0.66613,0.52264,1.14368,0.68463,0.61905,0.67134,0.54668,0.74841,1.1535,3.70998,0.00165984,0.00165984,0.00165984
82,383.981,0.67626,0.55444,1.18511,0.79372,0.5171,0.63513,0.48008,0.82001,1.48931,3.04162,0.00165975,0.00165975,0.00165975
83,388.641,0.67308,0.53844,1.17423,0.82524,0.60797,0.77645,0.59827,0.74753,0.94385,3.29098,0.00165966,0.00165966,0.00165966
84,393.291,0.67315,0.53167,1.17932,0.67858,0.8725,0.87491,0.69551,0.67411,0.70147,3.70128,0.00165957,0.00165957,0.00165957
85,397.985,0.6115,0.47145,1.1042,0.76218,0.73016,0.81172,0.67297,0.66667,0.84599,3.32336,0.00165948,0.00165948,0.00165948
86,402.631,0.64243,0.50248,1.13861,0.69372,0.65322,0.78889,0.57102,0.75729,0.99327,2.62591,0.00165939,0.00165939,0.00165939
87,407.322,0.64815,0.49577,1.14931,0.54577,0.76833,0.72635,0.52535,0.74874,1.13613,3.07482,0.0016593,0.0016593,0.0016593
88,412.043,0.62398,0.46716,1.13487,0.84874,0.76122,0.87576,0.67471,0.60439,0.8331,4.40308,0.00165921,0.00165921,0.00165921
89,416.691,0.67079,0.53221,1.17713,0.62321,0.72291,0.74946,0.60766,0.67224,1.00835,3.29458,0.00165912,0.00165912,0.00165912
90,421.401,0.61652,0.49506,1.12405,0.76621,0.85941,0.87263,0.67369,0.71569,0.7878,3.16597,0.00165903,0.00165903,0.00165903
91,426.675,0.64467,0.50363,1.15304,0.59321,0.75397,0.77352,0.59927,0.68006,0.84589,4.14871,0.00165894,0.00165894,0.00165894
92,431.393,0.65932,0.51129,1.16875,0.67567,0.63592,0.7247,0.54507,0.75082,1.1353,3.67758,0.00165884,0.00165884,0.00165884
93,436.133,0.66416,0.55761,1.14329,0.49578,0.64286,0.66208,0.52001,0.80211,1.14504,3.65388,0.00165875,0.00165875,0.00165875
94,440.796,0.61761,0.49434,1.10777,0.68715,0.7619,0.73682,0.54423,0.79084,1.17506,3.91939,0.00165866,0.00165866,0.00165866
95,445.488,0.64608,0.51418,1.1503,0.7155,0.94444,0.87024,0.60114,0.76029,0.84744,3.2373,0.00165857,0.00165857,0.00165857
96,450.201,0.63546,0.51217,1.13306,0.66711,0.6746,0.72468,0.5021,0.9298,1.17186,2.81653,0.00165848,0.00165848,0.00165848
97,454.892,0.61834,0.4757,1.12068,0.63759,0.64286,0.6882,0.47142,1.00175,1.3495,2.90308,0.00165839,0.00165839,0.00165839
98,459.63,0.62617,0.49477,1.12615,0.79689,0.51443,0.69318,0.55562,0.62586,1.15166,3.49627,0.00165831,0.00165831,0.00165831
99,464.321,0.61942,0.45101,1.12797,0.57852,0.71542,0.69165,0.54997,0.74645,1.07589,3.56763,0.00165821,0.00165821,0.00165821
100,469.043,0.64948,0.4913,1.162,0.79953,0.64646,0.7615,0.57976,0.70362,0.83706,3.98437,0.00165813,0.00165813,0.00165813
101,473.73,0.64575,0.51948,1.15453,0.66755,0.70635,0.75831,0.63262,0.63168,0.86155,3.3615,0.00165804,0.00165804,0.00165804
102,478.444,0.66818,0.51283,1.15564,0.69138,0.78571,0.73683,0.58247,0.73084,1.06208,3.11465,0.00165795,0.00165795,0.00165795
103,483.11,0.65187,0.51514,1.13776,0.64586,0.62698,0.74387,0.57205,0.82804,1.17168,3.12702,0.00165786,0.00165786,0.00165786
104,487.8,0.65428,0.51733,1.13798,0.86744,0.50437,0.62398,0.51929,0.74888,1.38723,3.192,0.00165777,0.00165777,0.00165777
105,492.433,0.61401,0.46995,1.11853,0.74459,0.60317,0.66427,0.50633,0.77676,1.31807,3.39612,0.00165768,0.00165768,0.00165768
106,497.127,0.64729,0.5069,1.1375,0.53471,0.67342,0.6682,0.50688,0.88406,1.26222,4.05957,0.00165759,0.00165759,0.00165759
107,501.767,0.6591,0.52688,1.16783,0.62427,0.71314,0.68609,0.5009,0.80483,1.32494,3.21335,0.0016575,0.0016575,0.0016575
108,506.421,0.64624,0.50396,1.15532,0.7408,0.66751,0.81818,0.56656,0.88766,1.04344,3.03223,0.00165741,0.00165741,0.00165741
109,511.106,0.61557,0.48949,1.10871,0.66574,0.8254,0.78537,0.44877,1.31242,0.9517,2.43775,0.00165732,0.00165732,0.00165732
110,515.75,0.62922,0.49835,1.14781,0.80044,0.70955,0.83786,0.60678,0.62682,0.76991,4.27075,0.00165723,0.00165723,0.00165723
111,520.43,0.61263,0.4992,1.11983,0.53583,0.86508,0.70714,0.5723,0.66283,0.89801,4.34754,0.00165714,0.00165714,0.00165714
112,525.107,0.6239,0.49064,1.11141,0.60287,0.6746,0.65082,0.52297,0.71305,1.19973,3.95622,0.00165705,0.00165705,0.00165705
113,529.789,0.6226,0.52308,1.11552,0.76269,0.78571,0.80809,0.66861,0.65222,1.03142,4.78523,0.00165696,0.00165696,0.00165696
114,534.515,0.63029,0.5052,1.14465,0.65134,0.7755,0.824,0.68295,0.64098,0.86828,3.78709,0.00165687,0.00165687,0.00165687
115,539.18,0.61981,0.51548,1.11036,0.66915,0.6661,0.75289,0.61416,0.70586,1.06226,3.10231,0.00165678,0.00165678,0.00165678
116,543.903,0.63367,0.51973,1.14441,0.55086,0.63839,0.64503,0.46062,0.92744,1.30768,2.41125,0.00165669,0.00165669,0.00165669
117,548.56,0.66738,0.55395,1.14146,0.52958,0.62201,0.605,0.51297,0.68712,1.21879,3.18727,0.00165661,0.00165661,0.00165661
118,553.27,0.64875,0.5289,1.14006,0.71053,0.67246,0.68625,0.58436,0.56021,0.936,4.06156,0.00165652,0.00165652,0.00165652
119,557.983,0.62517,0.48987,1.13356,0.65458,0.68064,0.7236,0.51083,0.65004,1.02542,3.52375,0.00165643,0.00165643,0.00165643
120,562.69,0.61616,0.50502,1.12296,0.55746,0.61905,0.667,0.54015,0.59243,1.02512,3.76368,0.00165634,0.00165634,0.00165634
121,567.351,0.66019,0.51096,1.13366,0.62392,0.75503,0.74421,0.54059,0.76408,1.10087,2.48787,0.00165625,0.00165625,0.00165625
122,572.017,0.68172,0.51076,1.16808,0.85663,0.86508,0.89866,0.74068,0.65284,0.83065,3.11778,0.00165616,0.00165616,0.00165616
123,576.72,0.66811,0.52384,1.12687,0.97319,0.52381,0.71914,0.56019,0.7445,1.11958,3.64776,0.00165607,0.00165607,0.00165607
124,581.436,0.61076,0.45642,1.11314,0.82611,0.75377,0.78707,0.65149,0.62316,0.97383,3.28787,0.00165598,0.00165598,0.00165598
125,586.131,0.60963,0.47805,1.0976,0.73973,0.82033,0.85129,0.7014,0.63982,0.8199,4.22371,0.00165589,0.00165589,0.00165589
126,590.749,0.59176,0.46228,1.09687,0.77399,0.66729,0.74454,0.5807,0.69997,1.0071,4.3484,0.0016558,0.0016558,0.0016558
127,595.388,0.58393,0.47169,1.092,0.61773,0.71324,0.82312,0.56704,0.76367,1.05014,3.34962,0.00165571,0.00165571,0.00165571
128,600.02,0.61354,0.46535,1.0936,0.72343,0.64286,0.74302,0.60733,0.66256,1.0893,3.22694,0.00165562,0.00165562,0.00165562
129,604.622,0.6218,0.48272,1.11335,0.56151,0.7214,0.69056,0.58115,0.68964,1.16521,3.12398,0.00165553,0.00165553,0.00165553
130,609.199,0.56498,0.4471,1.06988,0.77126,0.80031,0.797,0.68634,0.64245,0.92401,3.00022,0.00165545,0.00165545,0.00165545
131,613.785,0.64149,0.50528,1.13813,0.6935,0.73756,0.74875,0.65604,0.57813,0.81518,4.3843,0.00165536,0.00165536,0.00165536
132,618.395,0.60139,0.47423,1.0943,0.72003,0.69841,0.75505,0.63989,0.67833,0.848,4.154,0.00165527,0.00165527,0.00165527
133,622.99,0.62207,0.48513,1.1177,0.91303,0.66763,0.77454,0.58972,0.74666,1.18197,2.99372,0.00165518,0.00165518,0.00165518
134,627.578,0.61553,0.4782,1.11645,0.80945,0.57524,0.72829,0.60181,0.65078,1.16072,3.92969,0.00165509,0.00165509,0.00165509
135,632.249,0.61595,0.46974,1.116,0.92015,0.43919,0.62287,0.46105,0.73661,1.21089,3.17596,0.00165501,0.00165501,0.00165501
136,637.042,0.57988,0.45842,1.07417,0.79554,0.44482,0.56872,0.39868,1.14782,1.31942,2.51293,0.00165492,0.00165492,0.00165492
137,641.729,0.62975,0.49527,1.11216,0.52526,0.7619,0.68666,0.4545,0.88185,1.12541,2.99508,0.00165483,0.00165483,0.00165483
138,646.481,0.58968,0.44081,1.08435,0.61615,0.89901,0.81401,0.63161,0.81463,0.84578,3.47244,0.00165474,0.00165474,0.00165474
139,651.249,0.6129,0.46533,1.12282,0.85411,0.69167,0.87147,0.70922,0.64482,0.70449,4.15598,0.00165465,0.00165465,0.00165465
140,655.974,0.57787,0.44761,1.09153,0.87574,0.5,0.63084,0.49138,1.05811,1.0966,2.50347,0.00165455,0.00165455,0.00165455
141,660.458,0.58512,0.46796,1.08912,0.83868,0.54264,0.69771,0.50915,0.83483,1.16435,2.5691,0.00165446,0.00165446,0.00165446
142,664.896,0.61517,0.46576,1.10901,0.92285,0.5465,0.74231,0.64012,0.62282,1.16498,3.51839,0.00165438,0.00165438,0.00165438
143,669.343,0.57343,0.45457,1.08658,0.9152,0.73082,0.89109,0.73722,0.69384,0.81036,4.00865,0.00165429,0.00165429,0.00165429
144,673.845,0.61287,0.47262,1.13104,0.74567,0.75681,0.83696,0.69944,0.61115,0.93595,4.24381,0.00165421,0.00165421,0.00165421
145,678.285,0.58619,0.46968,1.11555,0.5791,0.46223,0.59899,0.45577,1.1571,1.44757,2.29899,0.00165412,0.00165412,0.00165412
146,682.662,0.63686,0.5,1.16823,0.51598,0.57937,0.60005,0.51158,0.81806,1.37099,3.06778,0.00165404,0.00165404,0.00165404
147,687.058,0.56846,0.45325,1.08157,0.65978,0.76984,0.75785,0.60768,0.78273,1.12822,3.25448,0.00165396,0.00165396,0.00165396
148,691.469,0.59163,0.48172,1.1045,0.58824,0.75397,0.70608,0.56065,0.69668,1.25782,2.96556,0.00165387,0.00165387,0.00165387
