False
x,y
143.3225860595703,19.519775390625
191.3214111328125,19.8548583984375
211.3209228515625,19.9945068359375
238.3202667236328,20.1829833984375
259.452392578125,1.330078125
259.3197326660156,20.32958984375
307.45123291015625,1.665283203125
477.44708251953125,2.85205078125
477.3144226074219,21.8515625
497.44659423828125,2.99169921875
143.0293731689453,61.518798828125
142.7501220703125,101.517822265625
162.88926696777344,81.657958984375
162.7496337890625,101.657470703125
190.7489471435547,101.8529052734375
210.7484588623047,101.9925537109375
237.747802734375,102.1810302734375
259.0265197753906,62.32861328125
258.88690185546875,82.328125
258.7472839355469,102.32763671875
287.0258483886719,62.524169921875
307.0253601074219,62.663818359375
306.8857421875,82.663330078125
477.0212097167969,63.8505859375
497.0207214355469,63.990234375
190.4557342529297,143.8519287109375
190.32310485839844,162.8514404296875
190.1834716796875,182.8509521484375
237.3219451904297,163.1795654296875
258.4540710449219,144.32666015625
286.32073974609375,163.521728515625
286.1811218261719,183.521240234375
334.3195495605469,163.8568115234375
354.45172119140625,144.9969482421875
354.3190612792969,163.9964599609375
382.4510498046875,145.1923828125
382.17877197265625,184.19140625
401.1783142089844,184.3240966796875
429.3172302246094,164.52001953125
476.1764831542969,184.84765625
496.1759948730469,184.9873046875
189.89723205566406,223.8499755859375
189.7576141357422,243.8494873046875
236.61685180664062,264.1771240234375
257.7559509277344,244.32421875
285.7552795410156,244.519775390625
285.6156311035156,264.519287109375
428.8913879394531,225.5185546875
448.7513122558594,245.65771484375
448.6116638183594,265.6572265625
475.6109924316406,265.845703125
495.8897705078125,225.986328125
495.7501525878906,245.98583984375
495.6105041503906,265.9853515625
189.3387451171875,303.8480224609375
189.2061004638672,322.8475341796875
209.3382568359375,303.9876708984375
236.0723114013672,342.1751708984375
257.3370666503906,304.32275390625
257.2044372558594,323.322265625
257.07177734375,342.32177734375
285.3363952636719,304.518310546875
333.335205078125,304.8533935546875
333.2025451660156,323.8529052734375
353.334716796875,304.9930419921875
381.33404541015625,305.1884765625
381.2013854980469,324.18798828125
381.0687561035156,343.1875
400.06829833984375,343.3201904296875
428.3328857421875,305.5166015625
188.79420471191406,381.8460693359375
188.64759826660156,402.8455810546875
208.79371643066406,381.9857177734375
235.64645385742188,403.1737060546875
235.50682067871094,423.1732177734375
256.79254150390625,382.32080078125
256.50628662109375,423.31982421875
284.7918395996094,382.516357421875
332.7906494140625,382.8514404296875
332.64404296875,403.8509521484375
332.5044250488281,423.8504638671875
352.7901611328125,382.9910888671875
352.6435546875,403.9906005859375
380.64288330078125,404.18603515625
380.5032653808594,424.185546875
399.5028076171875,424.3182373046875
427.6417236328125,404.51416015625
188.24966430664062,459.84423828125
188.1100311279297,479.84375
208.1095428466797,479.9833984375
235.24851989746094,460.17236328125
235.10888671875,480.171875
255.96176147460938,501.31787109375
284.1076965332031,480.5140380859375
283.9610900878906,501.513427734375
332.2461242675781,460.849609375
332.10650634765625,480.84912109375
352.10601806640625,480.98876953125
380.2449645996094,461.1846923828125
380.1053466796875,481.1842041015625
398.9582824707031,502.3162841796875
427.2438049316406,461.5128173828125
506.9892883300781,74.004150390625
506.2981262207031,173.001708984375
506.15850830078125,193.001220703125
