braille
False
x,y
11.0,17.0
32.0,17.0
63.0,17.0
84.0,17.0
114.0,17.0
136.0,17.0
167.0,17.0
187.0,17.0
218.0,17.0
240.0,17.0
270.0,17.0
291.0,17.0
322.0,17.0
343.0,17.0
374.0,17.0
395.0,17.0
84.0,181.0
84.0,202.0
114.0,160.0
114.0,202.0
136.0,160.0
136.0,181.0
136.0,202.0
11.0,246.0
11.0,289.0
32.0,289.0
63.0,246.0
63.0,268.0
84.0,268.0
114.0,246.0
114.0,289.0
136.0,246.0
136.0,289.0
240.0,268.0
240.0,289.0
270.0,289.0
322.0,268.0
322.0,289.0
343.0,246.0
343.0,268.0
374.0,246.0
374.0,289.0
395.0,289.0
11.0,348.0
11.0,370.0
75.0,3.0
96.0,3.0
148.0,3.0
200.0,3.0
303.0,3.0
386.0,3.0
408.0,3.0
200.0,90.0
230.0,69.0
282.0,47.0
303.0,47.0
334.0,47.0
334.0,69.0
334.0,90.0
356.0,90.0
386.0,69.0
408.0,69.0
408.0,90.0
23.0,211.0
23.0,254.0
45.0,233.0
96.0,211.0
96.0,233.0
96.0,254.0
127.0,211.0
127.0,254.0
148.0,211.0
148.0,233.0
178.0,233.0
200.0,211.0
200.0,233.0
230.0,233.0
252.0,211.0
282.0,211.0
282.0,233.0
303.0,211.0
303.0,233.0
23.0,335.0
45.0,292.0
96.0,292.0
96.0,335.0
148.0,335.0
178.0,313.0
178.0,335.0
282.0,292.0
282.0,313.0
303.0,335.0
356.0,292.0
356.0,313.0
386.0,335.0
408.0,335.0
