x,y
319.8057,216.5679
300.287,343.4392000000001
61.91330000000001,179.1458
108.8541,200.0521
275.5134,218.82010000000002
367.1009,323.9205
342.3716,406.35260000000005
280.0177,194.7971
60.898999999999994,132.48729999999998
276.2641,237.58800000000002
236.476,365.9607
86.3325,283.3818
100.4573,87.3503
61.91330000000001,221.7471
165.1579,386.23009999999994
364.8488,217.3186
300.2775,405.84540000000004
61.91330000000001,86.84309999999999
281.5191,257.1067
193.6851,87.4445
62.4205,261.8126
216.9574,239.0894
171.9143,261.611
302.5392,194.7971
126.8713,218.82010000000002
342.3272,218.0693
263.5019,258.6081
234.34699999999998,88.3646
147.623,87.85740000000001
319.055,239.0894
194.2815,408.88840000000005
277.7655,369.7143
346.0808,152.00619999999998
150.8942,259.3588
170.4451,196.89640000000003
149.3928,344.9406
133.6277,299.8976
128.351,198.4178
257.4961,196.2985
149.1445,198.4178
385.1971,108.17680000000001
362.5966,236.08659999999998
258.6906,408.88840000000005
295.032,368.2129
63.94189999999999,154.2951
150.1588,132.9945
129.8741,260.8602
360.3445,384.7285999999999
319.0424,152.7736
85.5818,239.8401
61.40619999999999,198.4178
237.2268,175.27839999999998
149.6516,109.15799999999999
369.3531,170.77409999999998
340.8258,238.33870000000002
126.3224,152.7736
64.4491,301.878
232.7225,218.0693
193.6851,300.6483
277.0148,319.4162
255.244,366.7114000000001
149.6516,174.0743
340.0751,363.70860000000005
299.5363,217.3186
235.36129999999997,131.9801
216.5965,153.78789999999998
386.6196,194.0464
171.4594,175.59570000000002
387.3703,237.58800000000002
278.9769,88.3646
108.818,175.94439999999997
89.3354,345.6913
321.071,111.1867
322.8086,194.0464
319.5495,84.3073
128.351,410.91700000000003
108.5718,109.15799999999999
299.5363,258.6081
365.5995,81.43870000000001
277.0148,387.73150000000004
63.43480000000001,385.0519
234.2239,197.8
258.9976,386.98080000000004
105.0217,152.2665
65.2767,408.1649
299.5363,281.1296
213.9545,260.1095
215.075,408.88840000000005
237.8971,409.39549999999997
324.6211,405.3383
191.433,278.8775
321.3071,365.9607
170.4451,107.63660000000002
107.5575,410.91700000000003
381.93,406.8597
341.5765,278.1267
236.8828,110.17240000000004
59.8847,111.69380000000001
125.3081,109.66519999999997
193.6851,341.93770000000006
386.6196,320.1669
126.8295,132.48729999999998
280.4984,408.88840000000005
387.3703,148.25259999999997
194.4359,320.1669
175.0095,409.39549999999997
363.3473,343.4392000000001
150.8942,302.1497
341.5765,301.399
321.3071,343.4392000000001
325.0607,323.1698
324.31,278.1267
320.0567,132.48729999999998
63.94189999999999,240.51190000000003
381.3645,362.9578
363.3473,259.3588
385.1181,280.3789
347.5823,322.4191
192.9344,387.73150000000004
65.4634,284.1275
343.0779,344.9406
279.267,345.6913
151.1731,408.38120000000004
65.4634,347.0151000000001
86.3325,259.3588
362.658,406.8597
106.6019,342.6885
109.6048,325.422
297.7417,132.9945
277.9626,112.201
239.4789,260.1095
129.1234,365.21
236.476,301.399
150.8942,363.70860000000005
87.7784,411.42420000000004
296.5335,386.23009999999994
84.8311,369.7143
65.4634,368.82290000000006
106.6019,385.47939999999994
67.4921,326.72880000000004
277.7655,300.6483
