x,y
263.6196,223.7726
394.7351,221.61440000000016
522.6132,221.61440000000016
647.7935,221.61440000000016
774.0925,216.6037
901.0225,217.89890000000003
1030.4718,216.12379999999996
1089.9479,282.19989999999996
963.3998,284.6517
896.3467,284.6517
835.8889,285.20129999999995
643.5312,286.2917
515.7113,287.86120000000005
447.064,286.56600000000003
320.1314,286.56600000000003
260.5508,286.56600000000003
263.4206,350.05729999999994
519.4143,348.98849999999993
648.9218,346.91859999999997
838.2954,347.1115
899.4323,343.5979
960.5692,345.0033000000001
1085.6934,402.9526000000001
1023.0038,404.3008
835.4703,406.47360000000003
646.7351,409.1932999999999
579.8275,408.4815000000001
512.2081,409.1932999999999
449.5712,409.90509999999995
389.7815,410.6168
261.6606,411.32860000000005
263.5576,474.4499000000003
331.1236,471.605
392.2886,473.02739999999994
458.4321,472.3162
584.3182,469.4712999999999
776.3478,466.6264000000001
1089.7165,524.4743000000001
898.4997,526.3140000000001
836.305,528.5512000000001
771.7631,532.2488000000001
649.3281,532.2488000000001
518.8678,529.6714
327.8561,536.8567999999998
260.1937,538.0543
263.6509,597.8463999999999
584.0712,589.1320000000001
711.0901,592.2446
773.6647,588.6346000000001
1027.0913,587.2799
1083.2436,648.1778999999999
263.9627,658.2860000000001
454.7679,657.1586999999997
582.0798,659.9405999999999
646.7017,655.4033999999999
963.0474,654.1796000000002
1026.1072,708.2493999999999
899.8978,712.1818000000001
838.718,714.4903999999999
645.9755,713.2125000000001
519.4277,717.5337
328.68,721.2375
262.6282,725.5586000000001
519.245,782.9129
580.554,776.8426999999999
769.9445,775.0217
836.1097,776.2357
1023.6791000000001,774.4146000000001
1086.1204,771.8815
392.9318,782.598
327.8623,785.0534
260.9513,786.2811999999999
266.3895,849.7668000000001
394.9267,847.8702000000001
456.221,845.3713000000002
519.6321,846.5953
960.4688,837.8900000000001
1025.9331,835.1394
1088.278,897.7427
962.6692,898.9534000000001
710.714,901.704
641.3989,901.704
581.5815,903.3135
517.0538,906.2401
388.9952,910.8189
324.3137,907.4146000000001
259.6322,910.8189
262.4953,974.4213
456.9648,965.8966
839.4388,961.1622000000002
900.3641,960.5927999999999
1083.9628,1016.4119000000001
1022.1110000000001,1017.1311000000001
959.5813,1017.5323000000001
896.3784,1017.5323000000001
833.1754,1019.8099
770.5419,1019.8099
707.9084,1020.3792999999998
643.5667,1020.9486999999999
579.7943,1024.3651
517.4205,1024.8382
453.2413,1029.6366
387.8624,1030.8361999999997
324.8827,1030.2364
259.5039,1036.8343
