epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7699,2.97928,39.5094,0.72266,3.32157,4.27499,0.00333,1,0.01656,0.01098,0,0,0,0,1.39251,39.8666,0.69121,3.33375,4.13791,0.0033,0.0033,0.0033
2,68.7057,2.96359,39.7018,0.71959,3.27078,4.21882,0.01562,0.59,0.01455,0.00432,0,0,0,0,2.11023,39.9829,1.31835,7.56601,6.53994,0.00662677,0.00662677,0.00662677
3,101.914,2.95285,39.6129,0.71519,3.19033,4.12942,0.00333,1,0.01651,0.00635,0,0,0,0,2.00769,39.958,0.69585,3.84803,4.10886,0.00994693,0.00994693,0.00994693
4,135.279,2.88568,39.4889,0.70109,2.90568,3.81523,0.15555,0.46,0.16216,0.03828,0,0,0,0,2.82194,39.9943,0.92425,7.27121,6.66312,0.0099703,0.0099703,0.0099703
5,168.629,2.69315,39.6818,0.6689,2.55353,3.417,0.00297,0.89,0.00327,0.00035,0,0,0,0,3.63609,39.9996,0.51866,51.3932,8.13277,0.0099604,0.0099604,0.0099604
6,201.299,2.34712,39.5726,0.62533,2.12309,3.04665,0.01352,0.72,0.01385,0.00275,0,0,0,0,3.09213,39.9721,0.36028,10.373,3.67279,0.0099505,0.0099505,0.0099505
7,234.117,1.89651,39.6419,0.59029,1.60498,2.63856,0.59936,0.71,0.61252,0.30287,0,0,0,0,1.46607,39.9838,0.31905,1.81617,2.38764,0.0099406,0.0099406,0.0099406
8,266.308,1.51742,39.7296,0.55435,1.18104,2.26533,0.99888,1,0.995,0.8064,0,0,0,0,0.92556,39.9905,0.27289,0.66741,1.75939,0.0099307,0.0099307,0.0099307
9,298.437,1.23699,39.6167,0.53647,0.94589,2.00268,0.99903,1,0.995,0.80312,0,0,0,0,0.86083,39.9864,0.29409,0.62391,1.58235,0.0099208,0.0099208,0.0099208
10,330.478,0.99264,39.7101,0.52686,0.78528,1.78391,0.99919,1,0.995,0.89582,0,0,0,0,0.43667,39.9897,0.17404,0.62227,0.99316,0.0099109,0.0099109,0.0099109
