epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4218,2.93965,49.3872,0.6826,3.17362,4.09952,0.00333,1,0.02032,0.01103,0,0,0,0,1.14396,49.9276,0.61065,2.8318,4.52627,0.00066,0.00066,0.00066
2,70.3793,2.69903,49.6322,0.61161,2.86058,3.45153,0.00027,0.08,0.00017,2e-05,0,0,0,0,4.26991,49.9918,0.24209,3.80456,5.17892,0.00131353,0.00131353,0.00131353
3,104.459,2.29437,49.5312,0.55754,2.2661,2.88833,0.34085,0.76016,0.31656,0.07541,0,0,0,0,1.72261,49.983,0.17253,6.48191,2.52063,0.00195387,0.00195387,0.00195387
4,138.023,1.72143,49.3809,0.51771,1.52476,2.37174,0.98013,0.98676,0.99163,0.72761,0,0,0,0,0.97137,49.9653,0.1663,1.81608,1.95568,0.0019406,0.0019406,0.0019406
5,171.13,1.36405,49.6262,0.49383,1.10232,2.03314,0.99701,1,0.995,0.86653,0,0,0,0,0.81134,49.9835,0.05017,0.7267,1.51709,0.0019208,0.0019208,0.0019208
6,204.048,1.07879,49.4861,0.47593,0.88076,1.76841,0.99908,1,0.995,0.79735,0,0,0,0,0.72094,49.9755,0.43777,0.58432,1.35611,0.001901,0.001901,0.001901
7,237.944,0.8835,49.5724,0.46861,0.71352,1.58037,0.99935,1,0.995,0.88968,0,0,0,0,0.61184,49.9791,0.3144,0.58064,1.05181,0.0018812,0.0018812,0.0018812
8,272.949,0.77312,49.6726,0.46875,0.61665,1.46415,0.99941,1,0.995,0.995,0,0,0,0,0.33812,49.9679,0.1695,0.61427,0.74002,0.0018614,0.0018614,0.0018614
9,308.051,0.67475,49.5288,0.46324,0.55535,1.36627,0.99917,1,0.995,0.9284,0,0,0,0,0.3916,49.9987,0.03369,0.36596,0.7623,0.0018416,0.0018416,0.0018416
10,342.976,0.58652,49.647,0.45656,0.49353,1.3033,0.99935,1,0.995,0.995,0,0,0,0,0.33483,49.992,0.06825,0.38669,0.59573,0.0018218,0.0018218,0.0018218
11,378.216,0.59502,49.4265,0.45594,0.4876,1.28017,0.99946,1,0.995,0.995,0,0,0,0,0.28142,49.9866,0.14491,0.27859,0.52914,0.001802,0.001802,0.001802
12,413.719,0.5124,49.1595,0.44472,0.44579,1.2101,0.99945,1,0.995,0.995,0,0,0,0,0.2512,49.9776,0.08982,0.30051,0.46321,0.0017822,0.0017822,0.0017822
13,447.826,0.47173,49.8394,0.43494,0.41259,1.16789,0.99944,1,0.995,0.995,0,0,0,0,0.13018,49.9931,0.10122,0.28776,0.39483,0.0017624,0.0017624,0.0017624
14,480.817,0.43756,49.6329,0.43,0.39233,1.14823,0.99938,1,0.995,0.995,0,0,0,0,0.13146,49.9966,0.09547,0.22891,0.43115,0.0017426,0.0017426,0.0017426
15,514.004,0.43786,49.6197,0.42216,0.38146,1.1304,0.99944,1,0.995,0.995,0,0,0,0,0.15422,49.9983,0.03725,0.26312,0.37919,0.0017228,0.0017228,0.0017228
16,547.287,0.38661,49.5579,0.35942,0.35271,1.10095,0.99946,1,0.995,0.995,0,0,0,0,0.16654,49.998,0.08796,0.2187,0.34219,0.001703,0.001703,0.001703
17,581.148,0.38182,49.6918,0.3123,0.35364,1.08639,0.99947,1,0.995,0.995,0,0,0,0,0.10682,50,0.09013,0.18311,0.29076,0.0016832,0.0016832,0.0016832
18,614.177,0.36792,49.4346,0.27951,0.34861,1.07479,0.99946,1,0.995,0.995,0,0,0,0,0.09411,49.9999,0.04389,0.19226,0.28379,0.0016634,0.0016634,0.0016634
