epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2655,2.91156,11.8533,0.66767,3.16274,4.0714,0.00333,1,0.0272,0.01353,0,0,0,0,1.24569,11.9901,0.56557,3.07757,4.77157,0.00066,0.00066,0.00066
2,69.1916,2.64499,11.9118,0.56989,2.72568,3.32685,0.00313,0.94,0.00311,0.00141,0,0,0,0,1.89734,11.9903,0.54278,16.0741,3.4267,0.00131353,0.00131353,0.00131353
3,102.502,2.13171,11.888,0.53121,2.00125,2.68385,0.39031,0.74,0.40289,0.1298,0,0,0,0,2.37222,11.999,0.02581,3.52731,3.3245,0.00195387,0.00195387,0.00195387
4,135.913,1.5896,11.8521,0.49521,1.34459,2.19682,0.04331,0.83,0.04264,0.0087,0,0,0,0,2.85823,12,0.00277,26.5581,4.24166,0.0019406,0.0019406,0.0019406
5,168.744,1.19124,11.9108,0.47792,1.00057,1.90082,0.98997,0.98698,0.99442,0.87882,0,0,0,0,0.83344,11.9998,0.06209,1.65898,1.61517,0.0019208,0.0019208,0.0019208
6,201.071,1.08752,11.8771,0.46834,0.84519,1.74415,0.99253,1,0.995,0.81765,0,0,0,0,1.084,11.9991,0.02325,2.22911,1.93314,0.001901,0.001901,0.001901
7,233.847,0.82398,11.8971,0.44883,0.68341,1.53018,0.99915,1,0.995,0.995,0,0,0,0,0.52978,11.9989,0.22543,0.55767,1.11225,0.0018812,0.0018812,0.0018812
8,267.536,0.71552,11.9221,0.44221,0.57613,1.40144,0.99894,1,0.995,0.93021,0,0,0,0,0.398,12,0.05341,0.40759,1.05286,0.0018614,0.0018614,0.0018614
9,301.056,0.61475,11.8877,0.3755,0.51832,1.31737,0.99939,1,0.995,0.995,0,0,0,0,0.3267,11.9999,0.05114,0.36269,0.79198,0.0018416,0.0018416,0.0018416
10,335.786,0.54855,11.9157,0.30656,0.47098,1.25688,0.99947,1,0.995,0.89961,0,0,0,0,0.45396,12,0.00412,0.35858,0.77986,0.0018218,0.0018218,0.0018218
11,369.512,0.53703,11.8628,0.27331,0.46256,1.2347,0.99926,1,0.995,0.99297,0,0,0,0,0.23345,12,0.05264,0.34315,0.59902,0.001802,0.001802,0.001802
12,402.415,0.50496,11.7995,0.24956,0.43573,1.18391,0.99901,1,0.995,0.99318,0,0,0,0,0.29495,11.9996,0.04841,0.29308,0.52244,0.0017822,0.0017822,0.0017822
13,435.858,0.52038,11.9622,0.22699,0.42802,1.17305,0.99946,1,0.995,0.93415,0,0,0,0,0.32798,12,0.00249,0.27116,0.68325,0.0017624,0.0017624,0.0017624
14,469.133,0.42472,11.9121,0.20322,0.3794,1.12025,0.99948,1,0.995,0.995,0,0,0,0,0.20862,12,0.01035,0.24562,0.52685,0.0017426,0.0017426,0.0017426
15,502.387,0.39383,11.909,0.20109,0.36228,1.09349,0.99934,1,0.995,0.995,0,0,0,0,0.18046,12,0.00724,0.18511,0.36917,0.0017228,0.0017228,0.0017228
16,535.626,0.39238,11.8941,0.17699,0.35875,1.08356,0.99948,1,0.995,0.9943,0,0,0,0,0.27802,12,0.01378,0.27829,0.38326,0.001703,0.001703,0.001703
17,569.661,0.38644,11.9264,0.17512,0.3489,1.07023,0.99946,1,0.995,0.995,0,0,0,0,0.17793,12,0.02065,0.17743,0.41852,0.0016832,0.0016832,0.0016832
