epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.75576,1.10112,3.61963,1.24596,0.00345,1,0.20093,0.14212,0.82899,3.11047,1.13021,0.00038341,0.00038341,0.00038341
2,13.944,1.09243,2.75604,1.18028,0.85972,0.04762,0.26394,0.18488,1.31741,2.97295,1.53306,0.000783408,0.000783408,0.000783408
3,18.8456,1.14188,2.41466,1.17397,0.29518,0.26984,0.26014,0.17848,1.41634,2.63872,2.11075,0.00118338,0.00118338,0.00118338
4,23.6092,1.13851,2.21595,1.1969,0.38604,0.11905,0.1778,0.12015,1.4139,3.43763,1.9946,0.0015833,0.0015833,0.0015833
5,28.4559,1.11223,1.9427,1.17545,0.41173,0.43651,0.3931,0.24358,1.51412,4.23794,1.96676,0.00166654,0.00166654,0.00166654
6,33.1516,1.08594,1.75623,1.16517,0.64184,0.34046,0.37526,0.21575,1.61131,2.76579,2.3046,0.00166645,0.00166645,0.00166645
7,37.8403,1.07042,1.60347,1.14936,0.38673,0.32871,0.39762,0.27276,1.24991,2.40685,1.64249,0.00166636,0.00166636,0.00166636
8,42.5611,1.12634,1.58944,1.17392,0.44196,0.25397,0.33586,0.20108,1.18954,2.96882,1.49897,0.00166627,0.00166627,0.00166627
9,47.4498,1.04954,1.48752,1.15427,0.48504,0.30159,0.29621,0.19035,1.25793,2.95065,1.51042,0.00166618,0.00166618,0.00166618
10,52.4879,0.98268,1.31665,1.10623,0.45629,0.42063,0.29474,0.19052,1.18592,3.12671,1.50989,0.00166609,0.00166609,0.00166609
11,57.159,0.97093,1.23598,1.09534,0.3952,0.33333,0.31644,0.19119,1.33978,2.89056,1.55428,0.00166599,0.00166599,0.00166599
12,61.7427,1.01532,1.28506,1.12127,0.46226,0.39683,0.31518,0.19686,1.35967,3.72349,1.6705,0.0016659,0.0016659,0.0016659
13,66.368,0.98496,1.21008,1.10133,0.28417,0.2619,0.26258,0.20571,1.39407,3.19326,1.69344,0.00166581,0.00166581,0.00166581
14,71.0089,0.95137,1.13404,1.07847,0.73778,0.53779,0.61868,0.45992,1.04379,1.29162,1.37909,0.00166573,0.00166573,0.00166573
15,75.645,0.95492,1.12417,1.09557,0.94607,0.52381,0.62314,0.51397,0.81332,1.24365,1.23072,0.00166564,0.00166564,0.00166564
16,80.1849,0.93589,1.09346,1.05822,0.46268,0.51587,0.50561,0.34845,1.2406,1.68557,1.51174,0.00166555,0.00166555,0.00166555
17,84.8049,0.95156,1.01333,1.04629,0.67848,0.53968,0.62386,0.42244,1.13965,1.44144,1.4938,0.00166546,0.00166546,0.00166546
18,89.4047,0.92178,0.94794,1.06073,0.45162,0.50794,0.43979,0.31499,1.05108,1.74629,1.45879,0.00166537,0.00166537,0.00166537
19,94.0327,0.9357,0.96887,1.04894,0.832,0.56349,0.59393,0.42961,1.00491,1.37087,1.34808,0.00166529,0.00166529,0.00166529
20,98.5583,0.89169,0.90267,1.03857,0.80325,0.58585,0.61485,0.4629,0.98606,1.68501,1.31939,0.0016652,0.0016652,0.0016652
21,103.054,0.89273,0.91518,1.04738,0.6578,0.39683,0.53667,0.3596,1.21659,1.62559,1.43547,0.00166511,0.00166511,0.00166511
22,107.589,0.91409,0.92411,1.05897,0.48815,0.5873,0.48876,0.31287,1.30847,1.83882,1.48302,0.00166503,0.00166503,0.00166503
23,112.11,0.90307,0.85842,1.04784,0.59206,0.42063,0.49972,0.36722,1.15786,1.90009,1.35872,0.00166494,0.00166494,0.00166494
24,116.764,0.86303,0.88069,1.03317,0.67022,0.7096,0.61433,0.47101,0.91159,1.45416,1.20461,0.00166485,0.00166485,0.00166485
25,121.364,0.8723,0.84164,1.03635,0.63178,0.45238,0.50096,0.40666,0.93402,1.73326,1.31788,0.00166476,0.00166476,0.00166476
