252,287,276,287,276,323,252,323,
295,362,319,362,319,400,295,400,
344,296,369,296,369,333,344,333,
292,291,317,291,317,328,292,328,
417,305,442,305,442,340,417,340,
381,301,405,301,405,338,381,338,
193,354,218,354,218,390,193,390,
109,275,128,275,128,310,109,310,
152,276,173,276,173,308,152,308,
209,281,233,281,233,317,209,317,
503,319,522,319,522,349,503,349,
544,320,563,320,563,351,544,351,
577,322,598,322,598,359,577,359,
607,325,627,325,627,358,607,358,
639,329,657,329,657,360,639,360,
675,336,692,336,692,362,675,362,
95,342,121,342,121,385,95,385,
146,348,173,348,173,389,146,389,
249,364,270,364,270,397,249,397,
335,364,361,364,361,404,335,404,
426,371,449,371,449,408,426,408,
462,375,486,375,486,411,462,411,
511,381,535,381,535,417,511,417,
545,384,568,384,568,422,545,422,
616,388,638,388,638,422,616,422,
652,392,676,392,676,429,652,429,
685,395,704,395,704,431,685,431,
