1067,783,1104,783,1104,837,1067,837,
1121,784,1156,784,1156,838,1121,838,
1173,785,1207,785,1207,838,1173,838,
1220,783,1256,783,1256,838,1220,838,
1269,785,1306,785,1306,839,1269,839,
1325,785,1363,785,1363,839,1325,839,
1381,785,1417,785,1417,839,1381,839,
1436,785,1472,785,1472,840,1436,840,
1122,880,1155,880,1155,932,1122,932,
1173,880,1208,880,1208,933,1173,933,
1226,880,1262,880,1262,932,1226,932,
1282,882,1317,882,1317,934,1282,934,
1326,881,1361,881,1361,933,1326,933,
1380,883,1417,883,1417,935,1380,935,
1200,974,1236,974,1236,1033,1200,1033,
1148,975,1183,975,1183,1032,1148,1032,
1252,976,1289,976,1289,1033,1252,1033,
1305,974,1341,974,1341,1036,1305,1036,
1356,974,1395,974,1395,1036,1356,1036,
1149,1072,1183,1072,1183,1131,1149,1131,
1200,1073,1236,1073,1236,1132,1200,1132,
1253,1072,1289,1072,1289,1130,1253,1130,
1306,1072,1340,1072,1340,1132,1306,1132,
1358,1071,1394,1071,1394,1130,1358,1130,
