173,204,195,204,195,237,173,237,
229,204,252,204,252,237,229,237,
257,204,279,204,279,237,257,237,
285,203,308,203,308,238,285,238,
312,204,335,204,335,238,312,238,
342,205,363,205,363,239,342,239,
369,205,390,205,390,238,369,238,
450,204,473,204,473,237,450,237,
420,204,444,204,444,238,420,238,
479,204,501,204,501,238,479,238,
507,205,528,205,528,239,507,239,
534,207,557,207,557,239,534,239,
764,208,785,208,785,238,764,238,
737,208,758,208,758,239,737,239,
706,208,729,208,729,238,706,238,
677,207,698,207,698,239,677,239,
648,206,670,206,670,238,648,238,
619,206,640,206,640,239,619,239,
590,206,613,206,613,238,590,238,
199,203,225,203,225,238,199,238,
