165,389,204,389,204,459,165,459,
231,385,276,385,276,461,231,461,
296,391,331,391,331,457,296,457,
428,383,467,383,467,454,428,454,
491,381,537,381,537,456,491,456,
557,380,598,380,598,452,557,452,
687,383,728,383,728,452,687,452,
750,380,794,380,794,452,750,452,
819,380,861,380,861,450,819,450,
952,374,994,374,994,452,952,452,
1011,374,1061,374,1061,452,1011,452,
1085,381,1122,381,1122,452,1085,452,
1213,376,1257,376,1257,450,1213,450,
1276,381,1326,381,1326,457,1276,457,
1346,381,1389,381,1389,454,1346,454,
1411,376,1452,376,1452,454,1411,454,
167,607,209,607,209,674,167,674,
231,606,276,606,276,678,231,678,
294,606,333,606,333,674,294,674,
420,602,472,602,472,676,420,676,
494,606,543,606,543,674,494,674,
561,607,600,607,600,676,561,676,
680,604,728,604,728,674,680,674,
748,598,798,598,798,672,748,672,
815,600,863,600,863,672,815,672,
954,598,1000,598,1000,672,954,672,
1017,604,1063,604,1063,676,1017,676,
1083,606,1124,606,1124,670,1083,670,
1219,600,1259,600,1259,672,1219,672,
1280,600,1328,600,1328,676,1280,676,
1343,604,1387,604,1387,674,1343,674,
1413,607,1456,607,1456,680,1413,680,
165,817,215,817,215,889,165,889,
235,824,281,824,281,896,235,896,
296,824,335,824,335,896,296,896,
428,824,472,824,472,893,428,893,
494,822,541,822,541,898,494,898,
565,824,604,824,604,891,565,891,
691,819,730,819,730,893,691,893,
756,813,800,813,800,894,756,894,
822,820,863,820,863,894,822,894,
959,824,1000,824,1000,894,959,894,
1013,822,1059,822,1059,896,1013,896,
1083,826,1122,826,1122,896,1083,896,
1215,822,1261,822,1261,898,1215,898,
1278,824,1326,824,1326,898,1278,898,
1344,830,1381,830,1381,898,1344,898,
1415,826,1456,826,1456,900,1415,900,
172,1039,215,1039,215,1109,172,1109,
233,1041,280,1041,280,1115,233,1115,
300,1044,339,1044,339,1113,300,1113,
430,1041,472,1041,472,1113,430,1113,
498,1037,546,1037,546,1115,498,1115,
561,1037,604,1037,604,1109,561,1109,
685,1037,739,1037,739,1115,685,1115,
754,1039,804,1039,804,1117,754,1117,
822,1041,867,1041,867,1117,822,1117,
956,1041,1004,1041,1004,1120,956,1120,
1022,1041,1069,1041,1069,1119,1022,1119,
1087,1043,1135,1043,1135,1117,1087,1117,
1217,1037,1261,1037,1261,1115,1217,1115,
1281,1043,1328,1043,1328,1119,1281,1119,
1346,1043,1389,1043,1389,1115,1346,1115,
1417,1048,1459,1048,1459,1117,1417,1117,
306,1476,350,1476,350,1552,306,1552,
372,1474,419,1474,419,1546,372,1546,
443,1478,480,1478,480,1548,443,1548,
565,1478,611,1478,611,1550,565,1550,
631,1472,680,1472,680,1552,631,1552,
698,1476,743,1476,743,1550,698,1550,
830,1476,878,1476,878,1550,830,1550,
896,1476,948,1476,948,1550,896,1550,
963,1474,1004,1474,1004,1544,963,1544,
1156,1474,1202,1474,1202,1543,1156,1543,
1220,1470,1267,1470,1267,1546,1220,1546,
1291,1474,1335,1474,1335,1550,1291,1550,
