455,1416,530,1416,530,1566,455,1566,
561,1422,648,1422,648,1569,561,1569,
758,2078,830,2078,830,2200,758,2200,
986,2075,1067,2075,1067,2213,986,2213,
1105,2075,1189,2075,1189,2209,1105,2209,
1339,2063,1423,2063,1423,2197,1339,2197,
1458,2069,1539,2069,1539,2197,1458,2197,
1576,2066,1651,2066,1651,2197,1576,2197,
1801,2047,1876,2047,1876,2181,1801,2181,
1911,2044,1992,2044,1992,2178,1911,2178,
2020,2034,2092,2034,2092,2178,2020,2178,
2126,2031,2208,2031,2208,2169,2126,2169,
2342,2019,2414,2019,2414,2159,2342,2159,
2439,2019,2517,2019,2517,2163,2439,2163,
2548,2019,2623,2019,2623,2166,2548,2166,
2658,2013,2730,2013,2730,2163,2658,2163,
751,2269,836,2269,836,2403,751,2403,
880,2275,958,2275,958,2403,880,2403,
1114,2263,1192,2263,1192,2400,1114,2400,
1233,2259,1308,2259,1308,2400,1233,2400,
1345,2259,1423,2259,1423,2394,1345,2394,
1573,2250,1651,2250,1651,2381,1573,2381,
1689,2241,1761,2241,1761,2375,1689,2375,
1811,2234,1880,2234,1880,2372,1811,2372,
1917,2234,1992,2234,1992,2366,1917,2366,
2133,2216,2208,2216,2208,2347,2133,2347,
2236,2206,2305,2206,2305,2334,2236,2334,
2348,2209,2420,2209,2420,2344,2348,2344,
2451,2200,2526,2200,2526,2334,2451,2334,
758,2453,842,2453,842,2584,758,2584,
880,2453,958,2453,958,2584,880,2584,
1351,2447,1420,2447,1420,2578,1351,2578,
1467,2441,1545,2441,1545,2581,1467,2581,
1580,2438,1658,2438,1658,2566,1580,2566,
1692,2422,1767,2422,1767,2556,1692,2556,
1808,2441,1883,2441,1883,2559,1808,2559,
767,2631,845,2631,845,2772,767,2772,
886,2634,964,2634,964,2772,886,2772,
1001,2634,1076,2634,1076,2775,1001,2775,
1233,2628,1301,2628,1301,2756,1233,2756,
1351,2628,1433,2628,1433,2759,1351,2759,
1589,2625,1661,2625,1661,2756,1589,2756,
1701,2619,1776,2619,1776,2741,1701,2741,
