epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2043,2.92318,19.7546,0.67888,3.17485,4.08777,0.00333,1,0.02088,0.01187,0,0,0,0,1.00238,19.9919,0.61816,2.93375,4.89664,0.00066,0.00066,0.00066
2,66.7611,2.73037,19.8535,0.57987,2.76522,3.38345,0.00333,1,0.02088,0.01187,0,0,0,0,5.1915,20,0,30.4637,29.232,0.00131353,0.00131353,0.00131353
3,99.2094,2.27115,19.813,0.51736,2.12709,2.8256,0.10157,0.57,0.09314,0.01519,0,0,0,0,3.17924,19.9993,0.01954,8.9256,7.46119,0.00195387,0.00195387,0.00195387
4,131.289,1.66525,19.7548,0.49759,1.45508,2.31978,0.59206,0.85,0.71763,0.4479,0,0,0,0,1.27442,19.9976,0.02617,3.42115,2.07131,0.0019406,0.0019406,0.0019406
5,163,1.31441,19.8522,0.47768,1.05343,2.0031,0.97772,0.97,0.98815,0.82693,0,0,0,0,0.8968,20,0.00837,1.53438,1.58608,0.0019208,0.0019208,0.0019208
6,195.027,1.15228,19.7954,0.4615,0.88177,1.79656,0.99865,1,0.995,0.78908,0,0,0,0,1.12924,20,0.05776,0.62773,1.78188,0.001901,0.001901,0.001901
7,226.397,0.87599,19.8287,0.42366,0.71017,1.56948,0.99706,1,0.995,0.79747,0,0,0,0,0.91836,19.9997,0.01297,1.0531,1.5094,0.0018812,0.0018812,0.0018812
8,258.405,0.78332,19.8698,0.39986,0.61329,1.46277,0.99925,1,0.995,0.89349,0,0,0,0,0.73469,20,0.07058,0.87354,1.15345,0.0018614,0.0018614,0.0018614
9,290.518,0.64219,19.8129,0.36267,0.5432,1.34849,0.99939,1,0.995,0.99166,0,0,0,0,0.27545,20,0.01098,0.30006,0.78234,0.0018416,0.0018416,0.0018416
10,323.707,0.55019,19.8593,0.35162,0.47411,1.2697,0.99942,1,0.995,0.99091,0,0,0,0,0.32459,20,0.00975,0.36029,0.75413,0.0018218,0.0018218,0.0018218
11,356.799,0.57067,19.7703,0.30999,0.46173,1.25112,0.9993,1,0.995,0.995,0,0,0,0,0.32538,20,0.02003,0.32423,0.6552,0.001802,0.001802,0.001802
12,389.386,0.50384,19.6653,0.25559,0.44103,1.18877,0.99945,1,0.995,0.995,0,0,0,0,0.22079,19.9999,0.0393,0.25036,0.51635,0.0017822,0.0017822,0.0017822
13,421.536,0.47667,19.9371,0.22841,0.41384,1.16214,0.99946,1,0.995,0.995,0,0,0,0,0.21503,19.9973,0.33373,0.43778,0.46679,0.0017624,0.0017624,0.0017624
14,454.1,0.42945,19.8539,0.21521,0.39066,1.13026,0.99943,1,0.995,0.995,0,0,0,0,0.23605,19.9999,0.01725,0.2482,0.51205,0.0017426,0.0017426,0.0017426
15,485.918,0.42218,19.8479,0.21748,0.37504,1.1122,0.99947,1,0.995,0.995,0,0,0,0,0.14375,19.9997,0.00964,0.19781,0.41489,0.0017228,0.0017228,0.0017228
16,518.039,0.4177,19.823,0.18724,0.36185,1.09524,0.99948,1,0.995,0.995,0,0,0,0,0.23847,20,0.01159,0.18297,0.38704,0.001703,0.001703,0.001703
17,549.499,0.38566,19.8768,0.1865,0.35772,1.07591,0.99947,1,0.995,0.995,0,0,0,0,0.18276,19.9999,0.0446,0.30983,0.39312,0.0016832,0.0016832,0.0016832
18,581.143,0.3726,19.7738,0.17276,0.34249,1.06363,0.99946,1,0.995,0.995,0,0,0,0,0.12838,19.9998,0.02909,0.12411,0.3455,0.0016634,0.0016634,0.0016634
19,612.886,0.33547,19.8458,0.16696,0.32937,1.0448,0.99948,1,0.995,0.995,0,0,0,0,0.11649,20,0.00684,0.22827,0.27419,0.0016436,0.0016436,0.0016436
20,644.827,0.33538,19.7976,0.16296,0.32094,1.03171,1,1,0.995,0.995,0,0,0,0,0.13133,20,0.00197,0.18247,0.33421,0.0016238,0.0016238,0.0016238
21,677.481,0.31731,19.7892,0.17127,0.32235,1.02759,0.99945,1,0.995,0.995,0,0,0,0,0.18745,19.9996,0.00394,0.31795,0.32388,0.001604,0.001604,0.001604
